"date","count"
"2015-12-26 00:00:00+00",29439
"2015-12-27 00:00:00+00",29134
"2015-12-28 00:00:00+00",29113
"2015-12-29 00:00:00+00",18004
"2015-12-30 00:00:00+00",289
"2016-01-03 00:00:00+00",54
"2016-01-04 00:00:00+00",12707
"2016-01-05 00:00:00+00",29032
"2016-01-06 00:00:00+00",27756
"2016-01-07 00:00:00+00",27554
"2016-01-08 00:00:00+00",27518
"2016-01-09 00:00:00+00",27506
"2016-01-10 00:00:00+00",27134
"2016-01-11 00:00:00+00",26926
"2016-01-12 00:00:00+00",27218
"2016-01-13 00:00:00+00",28793
"2016-01-14 00:00:00+00",29176
"2016-01-15 00:00:00+00",26923
"2016-01-16 00:00:00+00",28455
"2016-01-17 00:00:00+00",26738
"2016-01-18 00:00:00+00",26125
"2016-01-19 00:00:00+00",26494
"2016-01-20 00:00:00+00",26780
"2016-01-21 00:00:00+00",27492
"2016-01-22 00:00:00+00",26455
"2016-01-23 00:00:00+00",27226
"2016-01-24 00:00:00+00",25796
"2016-01-25 00:00:00+00",28129
"2016-01-26 00:00:00+00",28097
"2016-01-27 00:00:00+00",28243
"2016-01-28 00:00:00+00",28193
"2016-01-29 00:00:00+00",29411
"2016-01-30 00:00:00+00",28560
"2016-01-31 00:00:00+00",26721
"2016-02-01 00:00:00+00",27683
"2016-02-02 00:00:00+00",28635
"2016-02-03 00:00:00+00",28385
"2016-02-04 00:00:00+00",28336
"2016-02-05 00:00:00+00",29381
"2016-02-06 00:00:00+00",30328
"2016-02-07 00:00:00+00",30428
"2016-02-08 00:00:00+00",30210
"2016-02-09 00:00:00+00",30009
"2016-02-10 00:00:00+00",29677
"2016-02-11 00:00:00+00",30047
"2016-02-12 00:00:00+00",30232
"2016-02-13 00:00:00+00",30846
"2016-02-14 00:00:00+00",31186
"2016-02-15 00:00:00+00",30875
"2016-02-16 00:00:00+00",29223
"2016-02-17 00:00:00+00",29706
"2016-02-18 00:00:00+00",30564
"2016-02-19 00:00:00+00",30461
"2016-02-20 00:00:00+00",30382
"2016-02-21 00:00:00+00",30054
"2016-02-22 00:00:00+00",29111
"2016-02-23 00:00:00+00",30398
"2016-02-24 00:00:00+00",29712
"2016-02-25 00:00:00+00",30791
"2016-02-26 00:00:00+00",30497
"2016-02-27 00:00:00+00",30409
"2016-02-28 00:00:00+00",35167
"2016-02-29 00:00:00+00",36855
"2016-03-01 00:00:00+00",31056
"2016-03-02 00:00:00+00",32057
"2016-03-03 00:00:00+00",30992
"2016-03-04 00:00:00+00",31129
"2016-03-05 00:00:00+00",27990
"2016-03-06 00:00:00+00",36138
"2016-03-07 00:00:00+00",40010
"2016-03-08 00:00:00+00",36263
"2016-03-09 00:00:00+00",36242
"2016-03-10 00:00:00+00",41285
"2016-03-11 00:00:00+00",53824
"2016-03-12 00:00:00+00",88956
"2016-03-13 00:00:00+00",88580
"2016-03-14 00:00:00+00",80039
"2016-03-15 00:00:00+00",81003
"2016-03-16 00:00:00+00",81985
"2016-03-17 00:00:00+00",79381
"2016-03-18 00:00:00+00",80986
"2016-03-19 00:00:00+00",77716
"2016-03-20 00:00:00+00",75606
"2016-03-21 00:00:00+00",74810
"2016-03-22 00:00:00+00",83772
"2016-03-23 00:00:00+00",86127
"2016-03-24 00:00:00+00",86661
"2016-03-25 00:00:00+00",93817
"2016-03-26 00:00:00+00",90948
"2016-03-27 00:00:00+00",86927
"2016-03-28 00:00:00+00",41474
"2016-03-29 00:00:00+00",87565
"2016-03-30 00:00:00+00",79289
"2016-03-31 00:00:00+00",76649
"2016-04-01 00:00:00+00",89891
"2016-04-02 00:00:00+00",93144
"2016-04-03 00:00:00+00",88746
"2016-04-04 00:00:00+00",90300
"2016-04-05 00:00:00+00",85400
"2016-04-06 00:00:00+00",81421
"2016-04-07 00:00:00+00",88593
"2016-04-08 00:00:00+00",92028
"2016-04-09 00:00:00+00",95254
"2016-04-10 00:00:00+00",91249
"2016-04-11 00:00:00+00",90367
"2016-04-12 00:00:00+00",90358
"2016-04-13 00:00:00+00",96174
"2016-04-14 00:00:00+00",98504
"2016-04-15 00:00:00+00",96962
"2016-04-16 00:00:00+00",92064
